case_id,N,L,off,K_active,seed,sample_id,h1_raw,h2_raw,hidden_raw,ours_raw,h1_db,h2_db,hidden_db,ours_db,ours_method,used_greedy,used_rescue,delta_db_ours_minus_hidden
1,1000,2,0.25,750,10,1,185663031.03498766,174080903.4737151,269185399.94089764,270344258.67100966,82.68725436233767,82.40751131996893,84.3005150095664,84.31917150852735,H3-hidden+swap,False,False,0.018656498960950785
2,1000,2,0.5,500,10,1,83321636.71830562,70836752.03195615,77616370.53181337,91841979.05712827,79.20757792369648,78.50258639941289,78.89953330559892,79.6304123355052,H1+swap,True,False,0.7308790299062764
3,1000,2,0.25,750,10,2,159889171.81127223,127990380.54261293,225593432.40419945,225875561.2140639,82.03819052977956,81.07177330317788,83.53326452083762,83.53869244625406,H3-hidden+swap,False,False,0.005427925416441326
4,1000,2,0.5,500,10,2,74784531.820665,56023626.5427768,64714734.11757376,81871567.3452333,78.73811779152962,77.48371218313663,78.11003171201209,79.13133104581209,H1+swap,True,False,1.0212993338000018
5,1000,2,0.25,750,10,3,117278363.64561358,96432236.23982875,203191818.7371499,203202906.21140346,80.69217897741815,79.84222238060376,83.0790621764318,83.0792991494333,H3-hidden+swap,False,False,0.0002369730014919469
6,1000,2,0.5,500,10,3,53046827.91799968,41075227.04757789,62162577.00798973,74264051.04570268,77.24659419172377,76.13579972721529,77.93529010251531,78.70778635959468,H1+swap,False,False,0.7724962570793679
7,1000,2,0.25,750,10,4,75815983.23520896,65981903.408904456,157405058.39334512,158787923.23606235,78.79760771583503,78.19424839673415,81.97018684802066,82.008174686743,H3-hidden+swap,False,False,0.037987838722344236
8,1000,2,0.5,500,10,4,34600810.26135984,28512336.048811894,49848607.855750814,54682844.54772151,75.39086268963796,74.55032801018558,76.97653034081821,77.37851098054654,H1+swap,False,False,0.4019806397283219
9,1000,2,0.25,750,10,5,97953063.79452154,79509870.69732031,191971111.44069946,196535177.87619248,79.91018024488437,79.00421047188263,82.83235879298117,82.93440296137233,H3-hidden+swap,False,False,0.10204416839115993
10,1000,2,0.5,500,10,5,44528127.84703069,33582564.55624099,57078451.01889754,58388246.47455939,76.486344359173,75.26113858273021,77.56472178824647,77.66325432643681,H3-hidden+swap,False,False,0.0985325381903408
11,1000,2,0.25,750,10,6,107709990.91174738,91798979.7954929,206246051.71576062,230437762.29630026,80.32255989245962,79.62837854712683,83.1438564335786,83.62553649287142,H3-hidden+swap,False,False,0.4816800592928132
12,1000,2,0.5,500,10,6,47904686.26493359,38215632.82084877,61709511.27256461,71592920.41655816,76.80378000250695,75.82241055555879,77.90352106899417,78.54870078508448,H1+swap,False,False,0.6451797160903112
13,1000,2,0.25,750,10,7,25279982.87122356,21654278.800771262,85502074.69087857,86342014.18334213,74.02776775348654,73.35543724059343,79.31976652925465,79.36222175644177,H3-hidden+swap,False,False,0.04245522718711925
14,1000,2,0.5,500,10,7,11903198.788788753,9304389.427872704,26690037.96010444,35530992.91209325,70.75663686572236,69.68687879153414,74.26349191466495,75.50607343999823,H1+swap,False,False,1.2425815253332786
15,1000,2,0.25,750,10,8,47306560.33194934,36585841.059059724,143878872.29840574,150494833.16748947,76.74921371570845,75.63313043327594,81.57997025223074,81.77521589860976,H3-hidden+swap,False,False,0.1952456463790213
16,1000,2,0.5,500,10,8,20877442.83654848,14870543.090528226,40942347.981212854,53780720.68486946,73.19677303238899,71.72326829780364,76.12172745166845,77.3062661765978,H1+swap,False,False,1.1845387249293537
17,1000,2,0.25,750,10,9,88890814.36863625,70554615.38215572,162178328.05363944,162178558.0960993,79.48856884984559,78.48525428713185,82.09992818829802,82.09993434856008,H3-hidden+swap,False,False,6.160262060461719e-06
18,1000,2,0.5,500,10,9,42154015.5288943,32193174.759788956,48643133.696623616,53722162.30938592,76.2483895117847,75.07763807150684,76.87021545362397,77.30153484639554,H1+swap,False,False,0.43131939277157016
19,1000,2,0.25,750,10,10,58665807.97658502,41557381.106881246,142874873.06516838,151270222.27213153,77.68385056382668,76.18648171063502,81.54955857561718,81.7975344503784,H3-hidden+swap,False,False,0.24797587476120952
20,1000,2,0.5,500,10,10,27021656.702366102,18145880.000613354,43781081.01941264,57545682.41957704,74.31711972170804,72.5877803454502,76.41286480735101,77.60012744617515,H1+swap,False,False,1.1872626388241372
21,1000,2,0.25,750,10,11,82982480.29067826,74932159.67170112,163006381.27902833,164082989.67462373,79.18986411457728,78.74668249880712,82.1220460624459,82.1506356049636,H3-hidden+swap,False,False,0.02858954251769319
22,1000,2,0.5,500,10,11,38728873.675533086,32918792.100783255,47543367.057096384,51612285.86073801,75.88034866890197,75.17443891133526,76.77089935543941,77.12753093999635,H1+swap,False,False,0.35663158455693633
23,1000,2,0.25,750,10,12,141363092.63953584,108171497.46452439,217583437.50916702,218874412.50514528,81.5033603778332,80.34112841874402,83.37625833709347,83.40194993375383,H3-hidden+swap,False,False,0.02569159666035148
24,1000,2,0.5,500,10,12,66318936.3850629,48062962.737812914,62142849.62512124,81099901.73070027,78.21637552436636,76.8181053844093,77.93391164401577,79.09020327973911,H1+swap,False,False,1.156291635723349
25,1000,2,0.25,750,10,13,77694027.28147678,62630090.76441699,151948057.94612113,157348249.60133225,78.90387633750751,77.96783041087495,81.81695153717226,81.96861916027689,H3-hidden+swap,False,False,0.151667623104629
26,1000,2,0.5,500,10,13,36396968.058055855,27817725.663805652,46087590.76136795,63622436.30338617,75.6106520753646,74.44321619831591,76.63584005881273,78.03610295592755,H1+swap,False,False,1.400262897114814
27,1000,2,0.25,750,10,14,42140516.171234235,35245160.72116221,131558456.89616801,133258276.88535385,76.24699850895855,75.47099495331038,81.19118770819969,81.24694193263345,H3-hidden+swap,False,False,0.05575422443375544
28,1000,2,0.5,500,10,14,18927159.29414925,14748320.578280183,37444041.039887555,54605984.19360905,72.77085437236276,71.68742569120202,75.73382712571922,77.37240239039038,H1+swap,False,False,1.6385752646711609
29,1000,2,0.25,750,10,15,90749129.98810911,70128473.37495327,175599226.56111148,176886465.21713388,79.57842470146998,78.45894384855575,82.44522598694337,82.47694603365389,H3-hidden+swap,False,False,0.03172004671051809
30,1000,2,0.5,500,10,15,42836588.1321942,31335565.517506912,49198647.80425658,64615180.9264457,76.318148726554,74.96037536882375,76.91953166604355,78.10334564713877,H1+swap,False,False,1.1838139810952129
31,1000,2,0.25,750,10,16,62956770.721036464,48063150.65949846,141815194.68741494,143062649.50058955,77.99042443397985,76.81812236488385,81.51722765511117,81.55526263856956,H3-hidden+swap,False,False,0.03803498345838818
32,1000,2,0.5,500,10,16,28625146.81082253,19318399.0173156,42919857.475891136,56406929.41336196,74.56747722735425,72.85971132081775,76.32658271133225,77.51332458967923,H1+swap,False,False,1.1867418783469788
33,1000,2,0.25,750,10,17,137534188.93550813,108059833.63863046,234891598.1402858,236891625.9238787,81.38410670678115,80.33664294594253,83.70867482735164,83.7454970876274,H3-hidden+swap,False,False,0.036822260275755525
34,1000,2,0.5,500,10,17,63417308.78798718,46912987.821674734,65818498.17501281,87523640.61603956,78.02207808121125,76.71293093427747,78.18347968481814,79.42125374192426,H1+swap,False,False,1.2377740571061224
35,1000,2,0.25,750,10,18,130595090.1962835,103199508.90193197,251521872.6594475,251539700.55010393,81.15926849674558,80.13677630608164,84.00575757830359,84.00606539567433,H3-hidden+swap,False,False,0.00030781737073937165
36,1000,2,0.5,500,10,18,58199995.24020735,42672737.002618134,71064749.22332372,86835560.92316318,77.64922949131817,76.30150499128659,78.51654227816428,79.3869761400105,H1+swap,False,False,0.8704338618462231
37,1000,2,0.25,750,10,19,189620119.47885537,157995645.42313215,221638575.61410156,248190187.21090615,82.77884415887449,81.98645117367295,83.45645350453199,83.94784606637323,H1+swap,False,False,0.4913925618412378
38,1000,2,0.5,500,10,19,89368304.13557018,68807014.20739797,70204703.66118664,116272621.21106318,79.51183516784971,78.37632712600275,78.46366210501094,80.65477463165479,greedy+swap,True,False,2.191112526643849
39,1000,2,0.25,750,10,20,111730486.49720216,94193352.62882146,205557148.63365293,205961184.8507424,80.48171689776403,79.74020255038242,83.12932584780506,83.13785381565856,H3-hidden+swap,False,False,0.008527967853495966
40,1000,2,0.5,500,10,20,51061824.60548427,39668374.197886616,59252530.245881565,84362410.14471261,77.08096329503395,75.98444401347467,77.72706900646048,79.26148978578087,H1+swap,False,False,1.534420779320385
41,1000,2,0.25,750,10,21,57100615.69687447,69568252.79893444,142618489.7054505,144754415.2314301,77.56640791123492,78.42411096223684,81.54175833064974,81.60631819248542,H3-hidden+swap,False,False,0.06455986183567575
42,1000,2,0.5,500,10,21,26164185.44457058,29764213.038407564,42502603.6352764,59404378.615092754,74.17707218631014,74.73694404354755,76.28415534986759,77.73818457410302,H2+swap,False,False,1.454029224235427
43,1000,2,0.25,750,10,22,94612700.26348661,74299548.64950916,177347953.39270192,178589806.06466076,79.75949437502634,78.70986175542231,82.48826181049378,82.5185666565994,H3-hidden+swap,False,False,0.03030484610562212
44,1000,2,0.5,500,10,22,44049764.749335974,32098414.471583277,52441302.02434957,72709887.54009773,76.43943593376034,75.06483580590272,77.19673465912221,78.61593472923981,H1+swap,False,False,1.419200070117597
45,1000,2,0.25,750,10,23,68606225.15321416,55411427.08763058,146434553.66226172,146445395.35389137,78.36363524264034,77.43599335294394,81.65643567802962,81.65675720819017,H3-hidden+swap,False,False,0.0003215301605479226
46,1000,2,0.5,500,10,23,31585839.222430594,23617534.827824946,42998959.07460108,66506688.01573741,74.99492420404955,73.73234564465253,76.33457942239386,78.22865320826124,H1+swap,False,False,1.894073785867377
47,1000,2,0.25,750,10,24,221021319.92183504,179545095.3096314,254800090.58597335,255732108.4325545,83.4443416815489,82.54173545863894,84.06199578062768,84.07785259272494,H3-hidden+swap,True,False,0.015856812097254647
48,1000,2,0.5,500,10,24,101273075.5671587,76617411.52551043,83987136.40035571,136968786.60756817,80.05493999290783,78.8432747550954,79.2421277394109,81.36621608407702,anneal8000-T0.035-greedy+swap,True,True,2.12408834466612
49,1000,2,0.25,750,10,25,64863258.49410387,54664220.34489729,125831467.27130839,127778158.24271342,78.1199876225959,77.3770315830698,80.9978926077045,81.06456624046622,H3-hidden+swap,False,False,0.06667363276172011
50,1000,2,0.5,500,10,25,31648177.729510736,25049685.795730915,39449367.90061525,47195003.20384258,75.00348708830414,73.98802282776676,75.96040048876894,76.73896019907954,H1+swap,False,False,0.7785597103106028
51,1000,2,0.25,750,42,1,119112963.74164405,111681787.44211479,211941697.19020835,214712181.36402312,80.75959030794891,80.4798235612109,83.2621640776385,83.3185668416194,H3-hidden+swap,False,False,0.056402763980898385
52,1000,2,0.5,500,42,1,54233229.231109284,46769765.59700413,63848947.965742946,63852093.090471156,77.34265464577402,76.69965193295658,78.05153745821256,78.05175138134166,H3-hidden+swap,True,False,0.00021392312909540578
53,1000,2,0.25,750,42,2,150747610.98552173,116886097.94297822,215718871.8608816,253545469.7077605,81.78250438264752,80.67762860642738,83.33888140404021,84.04055855079127,H1+swap,False,False,0.7016771467510665
54,1000,2,0.5,500,42,2,69777471.30104955,51985879.31389357,67247537.29634024,116182631.09785554,78.43715226793097,77.15885394233692,78.27676384463386,80.6514120738157,H1+swap,False,False,2.374648229181844
55,1000,2,0.25,750,42,3,79990779.23381424,65278041.73839865,163766651.2401583,165164606.37103373,79.03039927508553,78.14767117636677,82.14225468505444,82.17916986661035,H3-hidden+swap,False,False,0.03691518155591211
56,1000,2,0.5,500,42,3,36927964.69059918,27954960.819706228,47753238.99973252,58550983.425986245,75.67355371880593,74.46458887909401,76.79002834181621,77.67534193906971,H1+swap,False,False,0.8853135972535
57,1000,2,0.25,750,42,4,57808822.80337901,47562493.72115178,138922675.93340346,145432058.54823077,77.6199412565946,76.77264616782311,81.4277314011467,81.62660151474385,H3-hidden+swap,False,False,0.19887011359715245
58,1000,2,0.5,500,42,4,26618333.136047274,19934980.25433079,42559497.33364479,42599442.54956311,74.2518085607922,72.9961580982839,76.28996489904625,76.29403916022139,H3-hidden+swap,False,False,0.004074261175134097
59,1000,2,0.25,750,42,5,67790348.95811705,61701469.7903679,145001357.57634607,145006241.32512262,78.31167869492782,77.90295509482894,81.61372068339497,81.6138669543998,H3-hidden+swap,False,False,0.00014627100482300648
60,1000,2,0.5,500,42,5,31858385.19316071,28250414.26833036,42769382.88357038,44351144.7302828,75.03223758926733,74.51024820761856,76.31132983897362,76.469048337197,H3-hidden+swap,False,False,0.15771849822337458
61,1000,2,0.25,750,42,6,130620569.3082375,108372152.55807151,245497646.9223337,255069608.95454332,81.1601157229633,80.34917699692451,83.90047333796895,84.06658716353391,H3-hidden+swap,False,False,0.16611382556496324
62,1000,2,0.5,500,42,6,57792532.69128878,43634382.22190141,72276042.65721007,75156756.02743608,77.61871727339701,76.3982883157996,78.58994365538221,78.75968026487188,H3-hidden+swap,False,False,0.16973660948966085
63,1000,2,0.25,750,42,7,37702930.870718755,30809281.307056036,114424097.11102478,117183946.26634078,75.76375111784189,74.8868156757951,80.58517494214942,80.68868119143745,H3-hidden+swap,False,False,0.10350624928803143
64,1000,2,0.5,500,42,7,17611053.650108524,13450007.541785473,32654892.070568174,53389778.28633011,72.45785340109187,71.28722527859237,75.13948252689207,77.27458117351198,H1+swap,False,False,2.135098646619909
65,1000,2,0.25,750,42,8,101919848.0084609,111295204.38267608,187129627.58189127,188766101.0642217,80.08258767334917,80.46476451351674,82.72142553275918,82.75924005626334,H3-hidden+swap,False,False,0.03781452350415293
66,1000,2,0.5,500,42,8,47106238.4477867,47815689.05578745,55719584.986874506,73819099.03641202,76.73078426110611,76.79570418628813,77.46007873032228,78.681687403191,H1+swap,False,False,1.2216086728687259
67,1000,2,0.25,750,42,9,30512442.878763795,25443920.770314116,107704712.22365372,110445519.19446094,74.84476979399078,74.05584034559385,80.3223470467181,80.43148101116515,H3-hidden+swap,False,False,0.1091339644470537
68,1000,2,0.5,500,42,9,13889450.255806133,10509087.502038889,31215069.398177665,43118796.18652969,71.42685056709921,70.21565008127796,74.94364304803496,76.34666627483752,H1+swap,False,False,1.40302322680256
69,1000,2,0.25,750,42,10,73628833.89159262,61500701.78549916,176136993.5096599,176750678.36950386,78.67047922323002,77.88880071545024,82.45850579078231,82.4736108929534,H3-hidden+swap,False,False,0.01510510217109129
70,1000,2,0.5,500,42,10,33090222.73027296,26257844.89715069,52468589.38376234,69787781.51517949,75.19699690405636,74.19259078658138,77.19899388362944,78.43779392751625,H1+swap,False,False,1.2388000438868119
71,1000,2,0.25,750,42,11,38110540.1151025,31603150.114638254,108920818.09332438,112178769.5564035,75.81045103779945,74.99730374049398,80.37110894622408,80.49910672098932,H3-hidden+swap,False,False,0.12799777476523388
72,1000,2,0.5,500,42,11,17316029.58765493,13721608.01583823,34977899.54129249,46239850.355417445,72.38448319214595,71.37405008709239,75.43793726097049,76.65016419921089,H1+swap,False,False,1.2122269382404056
73,1000,2,0.25,750,42,12,152701277.5891303,128998569.07592218,223544632.15902713,224022325.8823119,81.83842670635913,81.10584892889344,83.49364245880619,83.5029130192491,H3-hidden+swap,False,False,0.009270560442914189
74,1000,2,0.5,500,42,12,69707680.84091918,55740260.61454836,70617294.3054721,98403354.2495279,78.43280634095768,77.46168994933362,78.4891107359646,79.93009902366636,H1+swap,False,False,1.4409882877017566
75,1000,2,0.25,750,42,13,65311153.092402466,58312513.84223715,135621474.03767753,135935309.4372685,78.14987351457079,77.65761764183506,81.32328460310498,81.33332280146662,H3-hidden+swap,False,False,0.010038198361641548
76,1000,2,0.5,500,42,13,31049418.866846114,26309442.972409748,40210410.893910415,42342742.2896281,74.92053476162073,74.2011165323319,76.04338511005079,76.26778981285818,H1+swap,False,False,0.22440470280739078
77,1000,2,0.25,750,42,14,113839848.3028765,89445839.72406398,190771571.45178935,191762988.78049403,80.56294308358136,79.51560145608815,82.80513657152717,82.8276478990733,H3-hidden+swap,False,False,0.022511327546126836
78,1000,2,0.5,500,42,14,51759465.60994867,37420464.06992927,60589662.20699497,80340525.2785797,77.13989783815039,75.73109169100917,77.82398531271129,79.04934666888344,H1+swap,False,False,1.225361356172158
79,1000,2,0.25,750,42,15,83229917.55439793,62498100.51160193,153712967.6896792,167769977.82291746,79.20279464431245,77.95866818146224,81.86710507437978,82.2471424712213,H2+swap,False,False,0.38003739684151583
80,1000,2,0.5,500,42,15,38307072.26757533,26328832.370966017,48636465.021036975,73631821.32031615,75.83278960998366,74.2043159947483,76.86962002168313,78.6706554310308,H2+swap,False,False,1.8010354093476622
81,1000,2,0.25,750,42,16,46430203.647798225,35349795.24229847,130837610.71004696,131926100.21843822,76.66800588532016,75.48386902562976,81.16732604660244,81.20330724731323,H1+swap,False,False,0.03598120071079336
82,1000,2,0.5,500,42,16,21222463.85592927,15338323.406830862,38614158.55792701,59719865.719615795,73.26795802605753,71.85777890580654,75.8674657555583,77.76118822541008,H1+swap,False,False,1.893722469851781
83,1000,2,0.25,750,42,17,80742647.6425975,89307454.77287848,176192290.04922447,176196813.03607726,79.07102986314294,79.50887712321875,82.45986900317021,82.45998048835604,H3-hidden+swap,False,False,0.00011148518582615452
84,1000,2,0.5,500,42,17,36193395.134399116,38206813.92817602,54215870.24879747,58392553.795733705,75.58629324168582,75.82140823317728,77.34126433265385,77.66357469516427,H3-hidden+swap,False,False,0.32231036251042156
85,1000,2,0.25,750,42,18,140491139.92477226,118236455.75099999,223861392.49182576,223868888.829391,81.47648936318598,80.72751402860179,83.49979200888045,83.4999374365263,H3-hidden+swap,False,False,0.00014542764584746237
86,1000,2,0.5,500,42,18,64624093.17123914,50042902.42666002,64294118.16723053,76562972.71444358,78.10394461966756,76.9934249029652,78.0817124408509,78.84018787470137,greedy+swap,True,False,0.758475433850478
87,1000,2,0.25,750,42,19,55113962.859367125,46304350.77567594,134855009.57738492,134890125.48938724,77.41261639225071,76.6562179942174,81.29867084206815,81.29980158697607,H3-hidden+swap,False,False,0.0011307449079254184
88,1000,2,0.5,500,42,19,25120296.354013767,19697915.394028656,40937577.75799572,41538166.13902701,74.00024758638155,72.94420267746682,76.12122142247892,76.18447319033896,H3-hidden+swap,False,False,0.06325176786003794
89,1000,2,0.25,750,42,20,49563952.095796466,99763765.33446258,143817619.5361743,150410828.71624303,76.95165928554813,79.98972832141695,81.57812096050868,81.77279104090844,H1+swap,False,False,0.19467008039976008
90,1000,2,0.5,500,42,20,22538782.545873128,42438091.281115584,41242984.57166653,67809313.30340938,73.5293045350738,76.27755842601586,76.15350085711988,78.3128934635238,H1+swap,False,False,2.1593926064039266
91,1000,2,0.25,750,42,21,49027473.471882954,41542125.56201593,135368185.53127664,136449953.31986147,76.90439513366685,76.18488714063253,81.31516607689494,81.34973391431858,H3-hidden+swap,False,False,0.034567837423637116
92,1000,2,0.5,500,42,21,22531924.958454173,17331427.81339601,38427434.40677433,61175901.72249851,73.52798296167808,72.38834342629434,75.8464138992427,77.865803794986,H1+swap,False,False,2.019389895743288
93,1000,2,0.25,750,42,22,72492088.80157943,54192598.408372164,146323473.63676202,150550230.68873802,78.60290613780792,77.33939974916497,81.65314002496869,81.77681425320509,H3-hidden+swap,False,False,0.12367422823639629
94,1000,2,0.5,500,42,22,33867954.689730026,23820518.671230804,44325383.36186849,54428906.63904725,75.29788970078789,73.76951213637147,76.46652500420143,77.3582961035239,H1+swap,False,False,0.8917710993224688
95,1000,2,0.25,750,42,23,81431206.03610057,96739397.87201215,164986615.29541823,174103542.46511677,79.10790866954753,79.85603379913339,82.17448713067698,82.40807607748009,H3-hidden+swap,False,False,0.23358894680310982
96,1000,2,0.5,500,42,23,37585068.981204756,42244105.661762506,48795980.83947788,63878031.59842455,75.7501535165885,76.25766120216997,76.88384052102708,78.0535152488796,H2+swap,False,False,1.1696747278525237
97,1000,2,0.25,750,42,24,118961267.45605561,97614644.7185747,193817258.79633486,198075298.8484837,80.75405582667887,79.89514977946926,82.87392446947368,82.96830319846129,H3-hidden+swap,False,False,0.09437872898760702
98,1000,2,0.5,500,42,24,53273162.64262739,41208142.905636966,62420281.1051594,63766373.59784301,77.26508480105085,76.14983042964106,77.95325720147075,78.04591719304517,H3-hidden+swap,True,False,0.09265999157442195
99,1000,2,0.25,750,42,25,94252397.3062639,73500915.24180791,187009934.57973257,187023589.17957145,79.7429240528251,78.66292747002453,82.71864678293477,82.71896387308784,H3-hidden+swap,False,False,0.000317090153075128
100,1000,2,0.5,500,42,25,42279397.65273366,30566684.474610273,57792452.307492316,82908420.319137,76.26128791361089,74.85248333967459,77.61871123277864,79.18598640471026,H1+swap,False,False,1.5672751719316267
